protocol,optimizer,preprocessor_sample_size,preprocessor_seed,train_pool_size,phase,train_size,data_seed,model,dim,lr,init_seed,val_logloss,test_logloss,test_brier
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,16777216,0,linear,0,0.0019306977288832496,5,0.4582906644222233,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,67108864,0,linear,0,0.0019306977288832496,5,0.4567802313225336,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,268435456,0,linear,0,0.0019306977288832496,5,0.4567020344349035,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,4096,0,linear,0,0.0019306977288832496,6,0.676619724390466,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,16384,0,linear,0,0.0019306977288832496,6,0.6345562829175934,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,65536,0,linear,0,0.0019306977288832496,6,0.5558994343397451,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,262144,0,linear,0,0.0019306977288832496,6,0.5077311048282253,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,1048576,0,linear,0,0.0019306977288832496,6,0.47495987222031893,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,4194304,0,linear,0,0.0019306977288832496,6,0.46267177886437827,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,16777216,0,linear,0,0.0019306977288832496,6,0.4582906644222233,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,67108864,0,linear,0,0.0019306977288832496,6,0.4567802313225336,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,268435456,0,linear,0,0.0019306977288832496,6,0.4567020344349035,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,4096,0,linear,0,0.0019306977288832496,7,0.676619724390466,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,16384,0,linear,0,0.0019306977288832496,7,0.6345562829175934,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,65536,0,linear,0,0.0019306977288832496,7,0.5558994343397451,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,262144,0,linear,0,0.0019306977288832496,7,0.5077311048282253,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,1048576,0,linear,0,0.0019306977288832496,7,0.47495987222031893,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,4194304,0,linear,0,0.0019306977288832496,7,0.46267177886437827,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,16777216,0,linear,0,0.0019306977288832496,7,0.4582906644222233,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,67108864,0,linear,0,0.0019306977288832496,7,0.4567802313225336,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,268435456,0,linear,0,0.0019306977288832496,7,0.4567020344349035,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,4096,0,linear,0,0.003727593720314938,0,0.662263659649014,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,16384,0,linear,0,0.003727593720314938,0,0.5960230968864134,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,65536,0,linear,0,0.003727593720314938,0,0.5423015774860905,,
repeated_shuffle,adam+sparseadam,3667249,0,36672493,tuning,262144,0,linear,0,0.003727593720314938,0,0.48905073089140455,,
